record_ref,source_file,name,full_title,venue,entity_type,category,links,reading,reading_level,attempt,reason,untried,evidence,priority,A,B,X,cards
ARX-131,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Exploratory Modelling of Multi-System Transformation Pathways from Real-World Da,Exploratory Modelling of Multi-System Transformation Pathways from Real-World Data: A SINDy-Inspired Sparse Orthogonal Regression Technique,arXiv 2026,paper,arXiv增量|all:sparse AND all:accelerator AND all:t,https://arxiv.org/abs/2606.21530v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Sustainability transitions unfold through interacting dynamics across social, technological, economic, environmental, and governance dimensions. However, many modelling approaches either isolate subsystems or rely on optimisation-based pathways that do not explicitly represent feedbacks, path dependence, and institutional constraints. This study develops a Sparse Orthogonal Regression Technique (S",,P1_mid_rel,,,,
ARX-132,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Trustworthy MRI Reconstruction via Bayesian Uncertainty Quantification with Spar,Trustworthy MRI Reconstruction via Bayesian Uncertainty Quantification with Sparsity Prior Models,arXiv 2026,paper,arXiv增量|all:sparse AND all:accelerator AND all:t,https://arxiv.org/abs/2606.17343v2,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"We propose a novel Bayesian framework for joint image reconstruction and uncertainty quantification from compressed sensing magnetic resonance imaging data. The problem is formulated as a linear inverse problem, where prior distributions are assigned to the unknown image parameters. Specifically, the image is assumed to be sparse in a given transform domain. We develop a general framework applicab",,P1_mid_rel,,,,
ARX-133,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Layerwise Tunable Lifting Scheme for the Convolutional Neural Network,Layerwise Tunable Lifting Scheme for the Convolutional Neural Network,arXiv 2026,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2609.09827v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"This work introduces a family of tunable lifting schemes for biorthogonal wavelet filter banks. We propose three lifting strategies: low-pass tuning (LS-LayLatt-LP), high-pass tuning (LS-LayLatt-HP), and a sequential lifting scheme that jointly adapts low- and high-frequency branches (LS-LayLatt-Sequential). All proposed designs are formulated using a lattice-based lifting structure, which guarant",,P2_low_mid,,,,
ARX-134,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Data-driven Koopman mode approximation: A neural power iteration algorithm,Data-driven Koopman mode approximation: A neural power iteration algorithm,arXiv 2026,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2608.26943v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"This paper proposes a novel data-driven algorithm to approximate the dominant eigenfunctions (aka.~modes) of the Koopman operator of nonlinear dynamical systems using neural networks. The relevance of learning the dominant Koopman modes is to approximate nonlinear dynamics by linear ones in a lifted space, thereby enabling simplified control and analysis. To fight the curse of dimensionality arisi",,P2_low_mid,,,,
ARX-135,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Convex Networks Remain Hard to Certify: Dimension-Accuracy Barriers for Lipschit,Convex Networks Remain Hard to Certify: Dimension-Accuracy Barriers for Lipschitz Constants,arXiv 2026,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2608.16150v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Input-convex neural networks permit globally tractable minimization over their inputs, so one might expect their global regularity to be tractable in low input dimension. We prove exact and accuracy-sensitive barriers to this expectation. Given a bias-free one-hidden-layer ReLU network $f(x)=\sum_{r=1}^n \mathrm{ReLU}(a_r^\top x)$ with unit positive output weights, deciding whether its global Eucl",,P2_low_mid,,,,
ARX-136,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Tube MPC for Bilinear Koopman Models using Robust Control Contraction Metrics,Tube MPC for Bilinear Koopman Models using Robust Control Contraction Metrics,arXiv 2026,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2607.29538v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"This paper presents a robust tube model predictive control (MPC) framework for nonlinear systems represented by bilinear Koopman models identified from data. We derive discrete-time robust control contraction metrics (RCCMs) for bilinear Koopman models, which certify a contraction property that explicitly accounts for the mismatch between the Koopman model and the true dynamics. To synthesize such",,P1_mid_rel,,,,
ARX-137,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,LiNO: Lifting based multiresolution neural operator,LiNO: Lifting based multiresolution neural operator,arXiv 2026,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2607.02715v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Recently, neural operators have shown promising outcomes for learning solution operators of differential equations directly from data. This framework learns a functional mapping from the parameter field to the solution field, enabling the prediction of an entire class of solutions rather than a specific instance. However, existing operators often struggle to capture both global dynamics and fine-s",,P1_mid_rel,,,,
ARX-138,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Variational Inference via Entropic Transport Descent,Variational Inference via Entropic Transport Descent,arXiv 2026,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2606.25265v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Particle-based variational inference (ParVI) methods approximate an intractable target distribution by evolving an ensemble of interacting samples. Existing approaches rely predominantly on kernel-based repulsion (e.g., SVGD), which suffers from variance collapse in high dimensions and mode collapse on multimodal targets -- pathologies caused by the absence of global transport structure. We introd",,P2_low_mid,,,,
ARX-139,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Geometric Prototype Learning in Quantum Hilbert Space with Matrix Product States,Geometric Prototype Learning in Quantum Hilbert Space with Matrix Product States,arXiv 2026,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2605.17895v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Quantum probability provides a novel framework for formulating machine-learning (ML) problems in Hilbert space. We introduce a prototype-based learning scheme where class representatives are encoded as generative matrix product states (MPS). Because these prototypes reside in the same Hilbert space as quantum-encoded data samples, various ML tasks such as classification and clustering can be perfo",,P2_low_mid,,,,
ARX-140,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,SACK : Safe Active Continual Koopman Learning for Uncertain Systems with Contrac,SACK : Safe Active Continual Koopman Learning for Uncertain Systems with Contractive Guarantees,arXiv 2026,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2605.09659v2,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Koopman operator theory provides a powerful framework for representing nonlinear dynamics through a linear operator acting on lifted observables, enabling the use of linear control techniques for nonlinear systems. However, Koopman models are typically learned from data and often degrade in performance under model uncertainty and distributional shifts between training and deployment. Although seve",,P2_low_mid,,,,
ARX-141,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,A Neural Tension Operator for Curve Subdivision across Constant Curvature Geomet,A Neural Tension Operator for Curve Subdivision across Constant Curvature Geometries,arXiv 2026,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2603.28937v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Interpolatory subdivision schemes generate smooth curves from piecewise-linear control polygons by repeatedly inserting new vertices. Classical schemes rely on a single global tension parameter and typically require separate formulations in Euclidean, spherical, and hyperbolic geometries. We introduce a shared learned tension predictor that replaces the global parameter with per-edge insertion ang",,P2_low_mid,,,,
ARX-142,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Learning Monge maps with constrained drifting models,Learning Monge maps with constrained drifting models,arXiv 2026,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2603.25182v3,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"We study the estimation of optimal transport (OT) maps between an arbitrary source probability measure and a log-concave target probability measure. Our contributions are twofold. First, we propose a new evolution equation in the set of transport maps. It can be seen as the gradient flow of a lift of some user-chosen divergence (e.g., the KL divergence, or relative entropy) to the space of transpo",,P2_low_mid,,,,
ARX-143,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Structure-Aware Epistemic Uncertainty Quantification for Neural Operator PDE Sur,Structure-Aware Epistemic Uncertainty Quantification for Neural Operator PDE Surrogates,arXiv 2026,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2603.11052v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Neural operators (NOs) provide fast, resolution-invariant surrogates for mapping input fields to PDE solution fields, but their predictions can exhibit significant epistemic uncertainty due to finite data, imperfect optimization, and distribution shift. For practical deployment in scientific computing, uncertainty quantification (UQ) must be both computationally efficient and spatially faithful, i",,P2_low_mid,,,,
ARX-144,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Weisfeiler and Lehman Go Categorical,Weisfeiler and Lehman Go Categorical,arXiv 2026,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2602.06787v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"While lifting map has significantly enhanced the expressivity of graph neural networks, extending this paradigm to hypergraphs remains fragmented. To address this, we introduce the categorical Weisfeiler-Lehman framework, which formalizes lifting as a functorial mapping from an arbitrary data category to the unifying category of graded posets. When applied to hypergraphs, this perspective allows u",,P2_low_mid,,,,
ARX-145,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Cross-Dialect Bird Species Recognition with Dialect-Calibrated Augmentation,Cross-Dialect Bird Species Recognition with Dialect-Calibrated Augmentation,arXiv 2025,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2509.22317v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Dialect variation hampers automatic recognition of bird calls collected by passive acoustic monitoring. We address the problem on DB3V, a three-region, ten-species corpus of 8-s clips, and propose a deployable framework built on Time-Delay Neural Networks (TDNNs). Frequency-sensitive normalisation (Instance Frequency Normalisation and a gated Relaxed-IFN) is paired with gradient-reversal adversari",,P2_low_mid,,,,
ARX-146,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Explicit and Effectively Symmetric Schemes for Neural SDEs on Lie Groups,Explicit and Effectively Symmetric Schemes for Neural SDEs on Lie Groups,arXiv 2025,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2509.20599v2,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Backpropagation through (neural) SDE solvers is traditionally approached in two ways: discretise-then-optimise, which offers accurate gradients but incurs prohibitive memory costs; and optimise-then-discretise, which achieves constant memory cost by solving an auxiliary backward SDE, but suffers from slower evaluation and gradient approximation errors. Algebraically reversible solvers promise both",,P2_low_mid,,,,
ARX-147,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Multimodal Spiking Neural Network for Space Robotic Manipulation,Multimodal Spiking Neural Network for Space Robotic Manipulation,arXiv 2025,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2508.07287v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"This paper presents a multimodal control framework based on spiking neural networks (SNNs) for robotic arms aboard space stations. It is designed to cope with the constraints of limited onboard resources while enabling autonomous manipulation and material transfer in space operations. By combining geometric states with tactile and semantic information, the framework strengthens environmental aware",,P1_mid_rel,,,,
ARX-148,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Sheaf Graph Neural Networks via PAC-Bayes Spectral Optimization,Sheaf Graph Neural Networks via PAC-Bayes Spectral Optimization,arXiv 2025,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2508.00357v2,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Over-smoothing in Graph Neural Networks (GNNs) causes collapse in distinct node features, particularly on heterophilic graphs where adjacent nodes often have dissimilar labels. Although sheaf neural networks partially mitigate this problem, they typically rely on static or heavily parameterized sheaf structures that hinder generalization and scalability. Existing sheaf-based models either predefin",,P2_low_mid,,,,
ARX-149,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Biorthogonal Tunable Wavelet Unit with Lifting Scheme in Convolutional Neural Ne,Biorthogonal Tunable Wavelet Unit with Lifting Scheme in Convolutional Neural Network,arXiv 2025,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2507.00739v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"This work introduces a novel biorthogonal tunable wavelet unit constructed using a lifting scheme that relaxes both the orthogonality and equal filter length constraints, providing greater flexibility in filter design. The proposed unit enhances convolution, pooling, and downsampling operations, leading to improved image classification and anomaly detection in convolutional neural networks (CNN). ",,P2_low_mid,,,,
ARX-150,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,A Mesh-Adaptive Hypergraph Neural Network for Unsteady Flow Around Oscillating a,A Mesh-Adaptive Hypergraph Neural Network for Unsteady Flow Around Oscillating and Rotating Structures,arXiv 2025,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2503.22252v2,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Graph neural networks, recently introduced into the field of fluid flow surrogate modeling, have been successfully applied to model the temporal evolution of various fluid flow systems. Existing applications, however, are mostly restricted to cases where the domain is time-invariant. The present work extends the application of graph neural network-based modeling to fluid flow around structures rot",,P1_mid_rel,,,,
ARX-151,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Lift-and-Embed Learning Methods for Solving Scalar Hyperbolic Equations with Dis,Lift-and-Embed Learning Methods for Solving Scalar Hyperbolic Equations with Discontinuous Solutions,arXiv 2024,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2411.05382v2,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Deep learning methods, which exploit auto-differentiation to compute derivatives without dispersion or dissipation errors, have recently emerged as a compelling alternative to classical mesh-based numerical schemes for solving hyperbolic conservation laws. However, solutions to hyperbolic problems are often piecewise smooth, posing challenges for training of neural networks to capture solution dis",,P2_low_mid,,,,
ARX-152,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Distributed Koopman Learning with Incomplete Measurements,Distributed Koopman Learning with Incomplete Measurements,arXiv 2024,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2409.11586v2,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Koopman operator theory has emerged as a powerful tool for system identification, particularly for approximating nonlinear time-invariant systems (NTIS). This paper considers a network of agents with limited observation capabilities that collaboratively estimate the dynamics of an NTIS. A distributed deep Koopman learning algorithm is developed by integrating Koopman operator theory, deep neural n",,P2_low_mid,,,,
ARX-153,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Obfuscation Based Privacy Preserving Representations are Recoverable Using Neigh,Obfuscation Based Privacy Preserving Representations are Recoverable Using Neighborhood Information,arXiv 2024,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2409.11536v2,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,Rapid growth in the popularity of AR/VR/MR applications and cloud-based visual localization systems has given rise to an increased focus on the privacy of user content in the localization process. This privacy concern has been further escalated by the ability of deep neural networks to recover detailed images of a scene from a sparse set of 3D or 2D points and their descriptors - the so-called inv,,P1_mid_rel,,,,
ARX-154,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Self-tuning moving horizon estimation of nonlinear systems via physics-informed ,Self-tuning moving horizon estimation of nonlinear systems via physics-informed machine learning Koopman modeling,arXiv 2024,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2408.03653v2,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"In this paper, we propose a physics-informed learning-based Koopman modeling approach and present a Koopman-based self-tuning moving horizon estimation design for a class of nonlinear systems. Specifically, we train Koopman operators and two neural networks - the state lifting network and the noise characterization network - using both data and available physical information. The two neural networ",,P2_low_mid,,,,
ARX-155,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Multimodal Reaching-Position Prediction for ADL Support Using Neural Networks,Multimodal Reaching-Position Prediction for ADL Support Using Neural Networks,arXiv 2024,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2406.18162v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"This study aimed to develop daily living support robots for patients with hemiplegia and the elderly. To support the daily living activities using robots in ordinary households without imposing physical and mental burdens on users, the system must detect the actions of the user and move appropriately according to their motions. We propose a reaching-position prediction scheme that targets the moti",,P2_low_mid,,,,
ARX-156,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Finite-difference least square methods for solving Hamilton-Jacobi equations usi,Finite-difference least square methods for solving Hamilton-Jacobi equations using neural networks,arXiv 2024,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2406.10758v4,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"We present a simple algorithm to approximate the viscosity solution of Hamilton-Jacobi (HJ) equations by means of an artificial deep neural network. The algorithm uses a stochastic gradient descent-based method to minimize the least square principle defined by a monotone, consistent numerical scheme. We analyze the least square principle's critical points and derive conditions that guarantee that ",,P2_low_mid,,,,
ARX-157,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Lift Your Molecules: Molecular Graph Generation in Latent Euclidean Space,Lift Your Molecules: Molecular Graph Generation in Latent Euclidean Space,arXiv 2024,paper,arXiv增量|all:lifting AND all:scheme AND all:neura,https://arxiv.org/abs/2406.10513v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,We introduce a new framework for molecular graph generation with 3D molecular generative models. Our Synthetic Coordinate Embedding (SyCo) framework maps molecular graphs to Euclidean point clouds via synthetic conformer coordinates and learns the inverse map using an E(n)-Equivariant Graph Neural Network (EGNN). The induced point cloud-structured latent space is well-suited to apply existing 3D m,,P2_low_mid,,,,
ARX-158,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,FlexSpIM: An Event-Based Digital Compute-In-Memory Accelerator with Flexible Ope,FlexSpIM: An Event-Based Digital Compute-In-Memory Accelerator with Flexible Operand Resolution and Layer-Wise Hybrid Stationarity,arXiv 2026,paper,arXiv增量|cat:cs.AR AND all:spiking AND all:accele,https://arxiv.org/abs/2609.08446v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Compute-in-memory (CIM) accelerators for spiking neural networks (SNNs) offer a promising solution for achieving $μ$s-level inference latency and ultra-low energy in edge vision applications. However, their limited flexibility at both circuit and system levels restricts their deployment across diverse workloads. This work introduces FlexSpIM, a digital CIM architecture supporting arbitrary operand",,P0_high_rel,,,,
ARX-159,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Neuromorphic architectures as numerical solvers for computational neuroscience,Neuromorphic architectures as numerical solvers for computational neuroscience,arXiv 2026,paper,arXiv增量|cat:cs.AR AND all:spiking AND all:accele,https://arxiv.org/abs/2608.28387v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Neuromorphic computing is closely associated with spiking neuronal networks. However, an alternative class of so-called ""rate-based"" models arising from computational neuroscience and machine learning forgoes spiking interactions and instead relies on continuous coupling between neurons. Existing neuromorphic implementations designed around spike-based interactions are not well-suited for emulatin",,P1_mid_rel,,,,
ARX-160,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Beyond Edge Cuts: Activity-Weighted Multicast Hypergraph Mapping for Spiking Neu,Beyond Edge Cuts: Activity-Weighted Multicast Hypergraph Mapping for Spiking Neural Networks on Mesh NoCs,arXiv 2026,paper,arXiv增量|cat:cs.AR AND all:spiking AND all:accele,https://arxiv.org/abs/2608.26223v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Mapping spiking neural networks (SNNs) onto neuromorphic many-core platforms is often formulated with graph partitioning and pairwise placement costs. That abstraction is convenient, but it does not match the physical communication event: one spike from a source neuron is delivered to a set of postsynaptic destinations, and routes to several destinations can share mesh links. We present M-HySMap, ",,P2_low_mid,,,,
ARX-161,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Lonic: Algorithm-Hardware Co-Design for Energy-Efficient Fully Local Online SNN ,Lonic: Algorithm-Hardware Co-Design for Energy-Efficient Fully Local Online SNN Training with INT4 Precision,arXiv 2026,paper,arXiv增量|cat:cs.AR AND all:spiking AND all:accele,https://arxiv.org/abs/2608.12500v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Spiking neural networks (SNNs) have recently attracted increasing attention as an energy-efficient learning paradigm. Existing works also propose temporally and fully local online SNN training algorithms to address memory and computation overhead. However, they do not consider whether the algorithmic advantages can be effectively translated into real-device efficiency. To address this challenge, w",,P0_high_rel,,,,
ARX-162,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,A Time-Multiplexed Spiking Neural Network Accelerator with Pipelined Readout for,A Time-Multiplexed Spiking Neural Network Accelerator with Pipelined Readout for FPGA Inference,arXiv 2026,paper,arXiv增量|cat:cs.AR AND all:spiking AND all:accele,https://arxiv.org/abs/2608.00595v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,Spiking Neural Networks (SNNs) provide a power-efficient neuromorphic alternative to traditional artificial neural networks by processing information through discrete temporal events. This paper presents the design and Field-Programmable Gate Array (FPGA) implementation of an inference-only SNN accelerator optimized for MNIST digit classification. To address the physical routing constraints and ti,,P0_high_rel,,,,
ARX-163,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,The SpiNNaker2 chip: a many-core platform for flexible and scalable brain-inspir,The SpiNNaker2 chip: a many-core platform for flexible and scalable brain-inspired computing,arXiv 2026,paper,arXiv增量|cat:cs.AR AND all:spiking AND all:accele,https://arxiv.org/abs/2607.24396v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"In deep learning, efficiency gets more and more important to compensate for the ongoing growth in model sizes and applications. Neuromorphic hardware has long been advocated as an upcoming alternative to deep networks, taking inspiration from the brain for achieving unprecedented energy efficiency. However, demonstrations of these gains only recently began to grow in complexity and real-world appl",,P0_high_rel,,,,
ARX-164,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,The Sparsity Tax: Weight Sparsity Trade-offs in Event-Driven SIMD and SIMT Neuro,The Sparsity Tax: Weight Sparsity Trade-offs in Event-Driven SIMD and SIMT Neuromorphic Cores,arXiv 2026,paper,arXiv增量|cat:cs.AR AND all:spiking AND all:accele,https://arxiv.org/abs/2607.22790v1,本轮 arXiv API 盘点：题名/摘要/条目；未声称全文精读 || metadata_or_list || new_this_round,,本轮新盘点预印本；待按主战场筛选深读,补 arXiv 最新预印本覆盖,"Event-driven neuromorphic inference exploits activation sparsity by updating neuron state only on spikes. However, weight sparsity introduces irregular gather-style updates that undermine lockstep Single Instruction Multiple Data (SIMD) execution. We call the resulting overheads in control, metadata, and memory activity the sparsity tax. This paper quantifies that tax by comparing three closely re",,P0_high_rel,,,,
