idea_ref,name,view_type,catalog_id,A,B,X,status,boundary,next_or_stop,source,detail
MAIN-R235,DFlow / Context-aware Iteration Policy,per_paper_fusion_hint,W0207,上下文感知迭代策略网：按样本动态跳过光流更新步（瓶颈/边际收益）——迭代预算自适应与可控算力合同对照（借入≠X）。,固定大迭代（RAFT 24/32）；无策略的早退阈值；仅当前特征无历史/未来上下文的跳步。,迭代策略≠lifting源字X；旁路效率轴，差分不在Sintel EPE%。,"F2/F4相关（时间/迭代检查点、有损跳过）。第二队列对照。不抢 Stage B。f_candidates含F2,F4。",FLOPs降约40%/20%≠same-port服务%；帧光流≠事件valid825；仅摘录窗。,跳步伤EPE超预算或策略本身费用抵消收益 → 停该策略，保留固定迭代基线。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,Gumbel可微mask作接受/继续半步旁证对照F2/F4 | 历史隐元+正弦迭代嵌入作上下文合同 | 资源偏好r单网多档作可控预算 | 与RAFT族成簇 | 负结果只停该策略头
MAIN-R236,ESDA,per_paper_fusion_hint,W0208,可组合稀疏数据流：坐标token+特征同流、子流形卷积抑膨胀、编译期并行因子——事件稀疏空间供数与模板化对接对照（借入≠X）。,标准卷积致密化中间特征；稠密帧CNN全图扫描；不可组合的固定硬件；无token的纯特征流。,ESDA/子流形≠lifting数字残差链X；借稀疏数据流接口，勿搬平台吞吐数字。,F7相关（稀疏坐标打包/模块级联边界）。第二队列旁证。不抢 Stage B。f_candidates含F7。,平台分类吞吐/资源≠valid825/same-port%；仅摘录窗；子流形限制≠通用稠密光流出口。,无同端口稀疏服务改善或映射不上残差链 → 停类比，不杀稀疏数据流家族。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,token坐标与end标志+ravel序作稀疏流合同 | stride=1子流形输入输出同位可复用队列旁证 | 可组合模块级联作按模型拼数据流模板 | 负结果只停ESDA名替换数字链
MAIN-R256,Spike-driven Transformer V2 / Meta-SpikeFormer,per_paper_fusion_hint,W0228,Meta-SpikeFormer：前两段Conv-SNN（SepConv token mixer）+后两段金字塔SDSA——可替换token mixer的尖峰元架构与芯片友好算子集对照（借入≠X）。,纯Transformer尖峰（无Conv茎多段）；Spike-driven Transformer仅四层Conv编码；ANN meta块直接换激活。,Meta块/SDSA≠lifting X；架构元设计旁路。,"F1/F2/F4/F7弱相关（表示、时间步、残差/块、注意力打包）。旁路基线。不抢 Stage B。f_candidates含F1,F2,F4,F7。",ImageNet/检测精度≠AEE；启发下一代芯片≠nts07合同；仅摘录窗。,挂主网无增益或块费用挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,TokenMixer可替换作算子集合同 | SepConv+3x3 ChannelConv增强归纳偏置消融法 | 金字塔SDSA与V1成对读 | 负结果只停某mixer布局，不杀meta家族
MAIN-R234,SciFlow,per_paper_fusion_hint,W0206,自清洁迭代：用参考–扭曲特征高斯相似作SCI图指导GRU更新 + Regression Focal Loss重加权难像素——轻量迭代光流自评估/聚焦对照（借入≠X）。,无自评估的朴素迭代；仅监督L1无focal；重型RAFT堆算力换精度。,SCI/RFL≠lifting X；训练/推理辅助旁路。,弱F2/F4（迭代自清洁/有损聚焦）。旁路基线。不抢 Stage B。f_candidates空。,Sintel/KITTI增益≠valid825；轻量参数量勿写same-port%；仅摘录窗。,自清洁无增益或相似图费用抵消轻量优势 → 停该头，保留轻量骨干。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,SCI图作无GT前向自评估合同（训推皆用） | RFL用终局置信回加权全迭代作难例聚焦 | SCI与RFL协同消融模板 | 与DFlow迭代策略成簇对照 | 负结果只停SCI头
ARX-014,Photonic Neuromorphic IFC,per_paper_fusion_hint,W0466,事件传感稀疏捕获 + 被动光学频谱切片（多滤波器并行模拟卷积核）预处理再交轻量数字头——模拟域特征抽取减可训参数对照（借入≠X）。,纯数字CNN/FCL吃原始合成帧；有源复杂光子储备池；帧相机高带宽IFC。,OSS光子前端≠lifting数字链X；应用/传感旁路，勿搬准确率或参数压缩倍数。,传感/前端旁路；与执行岛弱相关。不抢 Stage B。f_candidates空。,流式细胞仪/PMMA实验≠光流AEE；实验室光路≠芯片；合成帧积分T≠本地事件合同。,前端不可映射到数字同端口或挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,被动频谱切片作模拟卷积降参数旁证 | 事件积分窗T由峰上升时间标定作前端合同 | 参数压缩比CR–精度帕累托 | 负结果只停光子前端替换数字出口
ARX-063,NeuraChip,per_paper_fusion_hint,W0514,哈希解耦空间加速：Gustavson式聚合 + 哈希引擎常数时间累加部分积 + 滚动驱逐——GNN稀疏–稀疏供数与部分和生存期对照（借入≠X；联读Flexagon/GROW）。,朴素三嵌套SpGEMM；无哈希的排序合并匹配；无驱逐的部分和缓存膨胀；计算–存储紧耦合单核。,NeuraChip/GNN≠lifting X；借驻留与哈希归约，勿称图芯片X。,F5相关（行驻留/部分和生存期/驱逐周转）。第二队列旁证。不抢 Stage B。f_candidates含F5。,GNN基准/加速比≠AEE；仅摘录窗walk-through；禁止虚报完整面积功耗表。,无同端口重读/归约改善或映射不上 → 停类比，不杀Gustavson/哈希家族。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,哈希累加作索引匹配分母合同（对照排序合并） | 滚动驱逐作F5谁该留下模板 | Core/Mem解耦+HACC路由作多消费者归约旁证 | 与Flexagon/GROW成簇 | 负结果只停NeuraChip名替换
MAIN-R230,EvGNN,per_paper_fusion_hint,W0202,事件驱动GNN：新事件只更新有向局部子图（不存全边）+棱柱邻域搜索引擎+层并行——边侧微秒级事件图更新与内存足迹对照（借入≠X）。,静态整段构图再推理；无向全图存边；AEGNN类高内存；纯CNN事件帧。,EvGNN图加速≠lifting X；边侧视觉前端旁路，勿搬延迟/片上存储当净服务%。,F1弱相关（事件图表示选择）。旁路/前端。不抢 Stage B。f_candidates含F1。,N-CARS准确率/平台指标≠valid825；摘录偏背景+贡献，禁止虚报已读完整微架构；量化8b≠本地阈值声明。,前端替换无增益或挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,有向因果子图免存边作内存合同 | 棱柱时空解耦邻域搜索作事件队列旁证 | 层并行复用邻域特征作更新延迟模板 | 与AEGNN/事件GNN成簇 | 负结果只停EvGNN前端替换
ARX-013,SCSim,per_paper_fusion_hint,W0465,尖峰相机电路级噪声建模 + 渲染→积分重置→尖峰流 + SNEE——尖峰传感前端数据合同与仿真供数对照（借入≠X）。,SPCS无/弱噪声；NeuSpike/SpikingSIM仅暗电流；纯事件差分采样；无标签裸渲染。,SCSim≠lifting X；数据集/前端旁路，勿搬重建PSNR。,传感/数据旁路；弱挂表示。不抢 Stage B。f_candidates空。,RHDD/WGSE微调≠valid825；仅摘录窗；电路噪声≠本地事件阈值。,仿真替换无增益或挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,积分达阈ϕ+重置作尖峰像素合同 | SNEE联噪声与尖峰流作前端标定旁证 | Rand scenes+多后端渲染作高速标签模板 | 与事件仿真器分簇 | 负结果只停SCSim数据替换
MAIN-R239,EFGCN,per_paper_fusion_hint,W0211,事件→邻域矩阵构图 + 时向有向边免k-hop重算 + PointNetConv(max) + 3D图池化——边侧事件图实时供数与片上驻留对照（借入≠X；联读EvGNN）。,全图欧氏搜邻O(n)；双向/逆时边级联更新；2D MaxPool结构漂移；SplineConv高内存；片外DRAM图存储。,EFGCN≠lifting X；借事件图流水，勿搬MEPS/LUT。,F1/F5弱相关（事件图表示、片上驻留）。旁路/前端。不抢 Stage B。f_candidates空。,分类/200MHz/无片外≠valid825/same-port%；仅摘录窗；禁止虚报完整PPA。,前端替换无增益或挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,邻域矩阵+半径R限搜作固定足迹构图合同 | 时向有向边只更新新顶点作异步硬件旁证 | PointNetConv线性ϕ+max省略γ | 3D MaxPool+位置/g缩放 | 与EvGNN成簇 | 负结果只停EFGCN前端替换
ARX-012,Event-based vision on FPGAs -- a survey,per_paper_fusion_hint,W0248,FPGA/SoC事件处理图谱：滤波→光流/立体→经典与SNN-AI检测跟踪——边侧事件加速对照轴与空白区定位（借入≠X；综述）。,仅GPU/CPU事件流水；单任务点论文无跨域对照；忽略功耗/延迟联合口径。,综述≠lifting X；只作地图与缺口，不导出单芯片标题差分。,地图/缺口旁证；弱挂硬件执行岛。不抢 Stage B。f_candidates空。,各文MEPS/mW不可并表外推本地；预印本未纳入；仅摘录+§III窗。,仅引用综述数字无法落到同端口合同 → 停当证据，保留地图。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,按应用轴分簇对照FPGA事件工作 | MEPS+延迟+器件三联汇报口径 | 知识缺口清单作第二队列过滤 | 负结果只停「用综述数字当本地合同」
ARX-011,TSkips,per_paper_fusion_hint,W0464,显式时间延迟跨层捷径（前/后向TSkip，禁未来）+可学习α混合当前/延迟——SNN时间依赖传播与检查点旁证（借入≠X）。,标准skip Δt=0；vRNN固定Δt=1后向；无延迟稠密残差；仅加深不加时间捷径。,TSkips≠lifting源字/半步图X；表示/训练旁路，差分不在DSEC AEE%。,"F1/F2/F4相关（表示、时间延迟、残差/检查点）。旁路基线。不抢 Stage B。f_candidates含F1,F2,F4。",DSEC/Gesture精度≠valid825；仅摘录窗；NAS的Δt勿写same-port%。,挂主网无增益或延迟缓冲挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,显式Δt前/后向捷径作时间检查点合同 | α混合当前与延迟通道 | NASWOT-SAHD无训分作Δt/位置搜索模板 | 挂EV-FlowNet式编解码skip | 负结果只停该TSkip布局
ARX-010,eCARLA-scenes,per_paper_fusion_hint,W0463,CARLA驾驶向合成事件光流数据集 + 场景回放改传感器流水 + eWiz——事件光流数据合同与仿真供数对照（借入≠X）。,MVSEC/DSEC真值同步噪声；ESIM/MDR随机传感器轨迹非车载；Blender重光照门槛高。,eCARLA≠lifting X；数据旁路，勿搬合成EPE。,F2弱相关（事件时间窗/光流数据）。数据旁路。不抢 Stage B。f_candidates含F2。,合成→真实域差；CARLA≠芯片；仅摘录+§3–4。,合成微调无真实增益或挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,车载运动模式作光流数据合同 | 场景回放改传感器位姿作扩展模板 | 预同步光流+灰度作多模态监督旁证 | eWiz训评纪律 | 负结果只停该合成集替换
ARX-179,Neuromorphic Optical Tracking and Imaging of Randomly Moving Targets through Strongly Scattering Media,per_paper_fusion_hint,W0630,散射介质下事件驱动跟踪+重建双模块SNN（OTM坐标+残差尖峰U-Net）——极端光学前端与稀疏尖峰推理对照（借入≠X）。,帧/SPAD散射成像；纯相关散斑跟踪无重建；同结构ANN全MAC；无代理梯度转换SNN。,散射光路≠lifting数字链X；应用/传感旁路，勿搬跟踪误差或能耗比。,传感/应用旁路；与执行岛弱相关。不抢 Stage B。f_candidates空。,MNIST/Kanji投影≠自然光流；实验室光路≠芯片；仅PDF补齐窗。,前端不可映射到数字同端口或挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,跟踪/重建双分支共享事件输入作任务解耦合同 | 残差SNN块+上下采样作尖峰U-Net旁证 | AC vs MAC分层记账作稀疏能耗分母 | 负结果只停该光学前端替换
ARX-190,SpikePack,per_paper_fusion_hint,W0220,全时序打包为全局膜电位 + 整数zip压缩尖峰序列 + 并行GeMM——SNN信息保留与硬件友好时间折叠对照（借入≠X）。,逐步递归LIF O(T)串行；逐步存尖峰O(T)；每步spike×W欠用GeMM；依赖BPTT逐步反传。,SpikePack神经元≠lifting结构化PSN X；表示/神经元旁路，差分不在ImageNet%。,F1/F2弱相关（尖峰表示、时间折叠）。旁路基线。不抢 Stage B。f_candidates空。,分类/检测/互信息≠valid825；仅摘录窗；O(1)压缩勿写same-port%。,替换无增益或打包损害时间可分性挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,vgl=W(Sq)一次聚合作时间折叠合同 | slzip位压缩作尖峰序列存储旁证 | 免逐步BPTT直接梯度 | 与LIF互信息对照作信息分母 | 负结果只停该神经元替换
ARX-009,ST-FlowNet,per_paper_fusion_hint,W0462,事件光流尖峰网：ConvGRU增强编解码 + ANN自监督再A2S/BISNN转尖峰——事件光流尖峰前端与训推合同对照（借入≠X）。,纯ANN FlowNet/EV-FlowNet；无ConvGRU单帧尖峰；仅经验阈值A2S无再训；有监督真值流。,ST-FlowNet≠lifting X；同任务旁路，差分不在MVSEC AEE%。,F2相关（事件时间表示/递推）。旁路基线。不抢 Stage B。f_candidates含F2。,MVSEC/ECD/HQF≠valid825；仅摘录+§4；理论能耗≠芯片mW。,替换无增益或ConvGRU费用挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,ConvGRU隐状态跨步对齐作时序光流合同 | 自监督contrast+smooth作缺GT训法 | BISNN：ANN初始化+STBP免手调生物参 | 与EVA-Flow/TMA成簇 | 负结果只停ST-FlowNet头替换
ARX-008,UCF-Crime-DVS,per_paper_fusion_hint,W0461,事件异常检测数据集 + 多尺度尖峰融合（局部膨胀时域+SpikingGCN全局）——事件时序表示与弱监督旁证（借入≠X）。,仅RGB UCF-Crime；单尺度尖峰池化；非尖峰全精度注意力；无全局图的纯局部时域。,UCF-Crime-DVS/MSF≠lifting X；应用/数据旁路，勿搬AUC。,F1/F2弱相关（事件表示、时间多尺度）。旁路。不抢 Stage B。f_candidates空。,异常AUC≠valid825；双栏摘录须PDF补齐；转换事件≠芯片传感。,替换无增益或挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,固定微秒窗积分事件帧作输入合同 | 金字塔时域膨胀+LIF作多尺度局部尖峰旁证 | SpikingGCN抓跨clip全局时依 | 与动作/异常事件集成簇 | 负结果只停MSF头/该数据集替换
ARX-007,Neural Ganglion Sensors,per_paper_fusion_hint,W0460,可学习视网膜神经节式事件传感（空间核+阈值）+可微分箱反传——任务专用事件前端与传感–任务共训对照（借入≠X）。,像素独立传统事件（W=I）；手刻Sobel RGC；不可微ESIM/V2E固定参数；仅后处理不学传感。,学到的事件相机≠lifting X；传感前端旁路，勿搬下游精度。,F1弱相关（表示/前端选择）。传感旁路。不抢 Stage B。f_candidates空。,下游任务指标≠valid825；仅摘录窗；可微仿真≠真实硅实现。,学核无增益或不可映射硅实现挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,W∗ΔI+双阈作可学习事件生成合同 | 闭式可微分箱作传感–体素共训旁证 | 多通道/Bayer式多种RGC并行 | 恒等核退化对照传统事件 | 负结果只停该前端替换
ARX-078,Spatio-Temporal State Space Model For Efficient Event-Based Optical Flow,per_paper_fusion_hint,W0529,用选择性SSM/Mamba直接吃事件体素提时空特征、避开4D相关金字塔——高效事件光流编码器对照（借入≠X）。,E-RAFT/TMA式4D相关体；双视图相关；纯CNN/Transformer编码器；非选择性S4。,STSSM≠lifting X；同任务旁路，差分不在EPE%；相关体费用≠same-port%。,F2/F7弱相关（时间状态、特征打包）。旁路基线。不抢 Stage B。f_candidates空。,光流基准≠valid825；双栏LaTeX残片须谨慎；禁止虚报完整SOTA表。,替换无增益或SSM状态费用挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,"单窗ε(tR,tT)免双体积相关作存储分母合同 | STSSM：时空patch→SSM→回投作编码器模板 | Mamba vs S4/S4D/S5消融 | 与IDNet/TMA成簇 | 负结果只停STSSM头替换"
ARX-005,Inference-Time Gaze Refinement for Micro-Expression Recognition,per_paper_fusion_hint,W0458,事件瞳孔轨迹推理期：运动感知中值抑眨眼尖峰 + 局部光流邻域纠偏——模型无关后处理稳定合同对照（借入≠X）。,仅重训骨干抑抖动；固定核中值无视运动方差；无光流位置回归；只报点精度无视时间连续。,Gaze后处理≠lifting X；应用旁路，差分不在瞳孔像素误差%。,"F2/F7相关（时间连续、后处理打包）。旁路。不抢 Stage B。f_candidates含F2,F7。",瞳孔/微表情指标≠valid825；仅摘录窗；后处理延迟勿写same-port主路径%。,后处理无增益或延迟挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,自适应核中值按局部运动方差作连续轨迹合同 | 局部光流一致性检查作偏移纠偏旁证 | 模型无关挂接作不重训稳定模板 | Jitter（KL+谱熵）作时间连续度量 | 负结果只停该后处理挂接
ARX-004,CSSL,per_paper_fusion_hint,W0457,上下文感知阈控卷积/循环：按输入分布学像素级vth，Heaviside掩码抑冗余激活——事件稀疏时空学习与激活密度合同对照（借入≠X）。,固定ReLU阈；稀疏损失手调；无上下文的事件卷积；稠密帧式卷积全激活。,CSSL阈控≠lifting X；事件检测/光流旁路，差分不在mAP/EPE%。,F1弱相关（敏感激活/源活动剪枝语言）。旁路基线。不抢 Stage B。f_candidates空。,检测/光流指标≠valid825；仅摘录窗；代理梯度稀疏≠same-port净服务%。,阈控无增益或代理梯度不稳挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,像素级vth=σ(Wv x)+H(ỹ−vth)作激活密度合同 | 残差块后阈控保持稀疏作层间模板 | 扩展到卷积RNN/Minimal Gated作时空稀疏旁证 | 与固定阈/稀疏损失成簇 | 负结果只停该阈控替换
ARX-048,Otters,per_paper_fusion_hint,W0500,光TFT物理衰减+动态阶梯阈实现TTFS；1-bit K/V使TTFS注意退化为加/减——光电TTFS Transformer与无损量化转换对照（借入≠X）。,均匀时钟恒定阈；率编码SNN注意；全精度Q·K^T乘；直接SNN训练无QNN映射。,Otters/TTFS光电≠lifting X；光电器件旁路，勿搬能模EAnalog当净服务%。,F2/F7弱相关（时间编码、注意打包）。器件/转换旁路。不抢 Stage B。f_candidates空。,ImageNet/能模≠valid825；仅摘录窗；TFT拟合参数≠本地事件时间合同。,器件不可复现或转换精度掉点挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,非线衰减用阶梯θ(tk)对齐量化电平作TTFS合同 | 1-bit K/V+选择性加减作注意乘积分母 | Prop.1 γ=w·α·T与θ=α(T−k)作QNN无损映射模板 | Canon式PE广播TTFS/Q作稀疏数据流旁证 | 负结果只停该光电TTFS挂接
ARX-061,DIAMOND,per_paper_fusion_hint,W0512,对角格式SpMSpM：DPE按索引对齐比较/转发 + 对角累加器收Minkowski和——结构化对角稀疏乘法与局部复用合同对照（借入≠X）。,CSR/COO通用SpMSpM；SIGMA/外积/Gustavson无对角特化；DIA强制等长填充；稠密GEMM。,DIAMOND/量子对角核≠lifting X；同构稀疏核旁路，差分不在量子仿真×速%。,"F1/F5相关（结构化源字活动、对角中间量驻留/分块周转）。可挂第二队列线索。不抢 Stage B。f_candidates含F1,F5。",量子仿真加速比≠valid825；仅摘录窗；对角规律≠lifting任意T10稀疏图。,对角假设不成立或索引税吃掉增益挤占 Stage B → 保持旁路/降为F1线索。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,offset加性dC=dA+dB作对角乘积合同 | DPE比较jA≟iB选择性转发作不规则对齐模板 | 对角累加器按输出对角并行收集作局部复用旁证 | 二维对角分块界住网格作驻留/周转语言 | 与Gustavson/SIGMA成簇；负结果只停对角核替换
ARX-003,Benchmarking Microsaccade Recognition with Event Cameras,per_paper_fusion_hint,W0456,合成微眼跳事件集 + 训练期光流辅助头逼模型学运动而非事件计数——微眼跳事件基准与运动正则对照（借入≠X）。,仅按事件计数分类；无重叠重采样的时长泄漏；帧相机微眼跳；推理期仍跑流头。,微眼跳基准≠lifting X；数据集/应用旁路，勿搬准确率当净服务%。,F2弱相关（时间运动表示）。数据/应用旁路。不抢 Stage B。f_candidates空。,合成/EV-Eye检测率≠valid825；仅摘录窗；Farneback监督≠真实流GT。,流正则无增益或数据集偏差挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,时长与事件计数重叠重采样作防泄漏合同 | 训练期Lclass+λLflow、推理卸头作零成本正则模板 | Blender角类+v2e作微运动事件供数旁证 | 与纯Spiking-VGG成簇 | 负结果只停该流正则挂接
ARX-185,Platinum,per_paper_fusion_hint,W0636,离线生成可切换构造路径、在线按path做shortcut LUT；ternary专用LUT省并项——低比特LUT加速与Prosperity动态调度对照（借入≠X）。,Prosperity运行时shortcut调度；纯bit-serial三元编码；离线预存全LUT；无路径切换的固定构造。,Platinum LUT路径≠lifting X；同Prosperity族底座，差分不在BitNet×速%。,F3相关（联合图/公共虚节点/路径调度语言；与Prosperity对照）。第二队列线索。不抢 Stage B。f_candidates含F3。,BitNet加速比≠valid825；仅摘录窗；LUT路径≠lifting源DAG产品mask。,路径切换无增益或LUT构造仍瓶颈挤占 Stage B → 保持旁路/降为F3线索。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,离线path+Finish token作去调度器构造合同 | bit-serial↔ternary路径切换作精度特化模板 | LUT[dst]=LUT[src]±a[j]四段流水作面积旁证 | 与Prosperity成簇：静态path vs动态调度 | 负结果只停该LUT路径替换
ARX-047,SAOCDS,per_paper_fusion_hint,W0499,流式SNN：预压缩非零权遍历 + 输入尖峰门控累加 + 按输出通道固定顺序流——时空稀疏与层间直连吞吐合同对照（借入≠X）。,输入优先流式无视权稀疏；脉动阵列GOAP复制控制；仅时间稀疏滑窗；层间写回全局缓冲。,SAOCDS/AMC≠lifting X；FPGA流式旁路，差分不在调制分类准确率%。,"F1/F2相关（非零权/源活动选择、输出通道有序共同完成）。可挂第二队列线索。不抢 Stage B。f_candidates含F1,F2。",AMC准确率/吞吐≠valid825；仅摘录窗；输出通道顺序≠lifting半步RNE检查点。,稀疏度低时无增益或通道序约束冲突挤占 Stage B → 保持旁路/降为F1/F2线索。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,权掩码AND得fetch mask作FC空间稀疏合同 | GOAP按非零权+EM门控累加作卷积模板 | 输出通道顺序流免层间控制作直连旁证 | 时空稀疏无嵌套条件作负载均衡语言 | 负结果只停该流式数据流替换
ARX-002,Unbiased Gradient Estimation for Event Binning via Functional Backpropagation,per_paper_fusion_hint,W0455,事件分箱用函数反传合成弱导数κ=l∗k，前向核不变、仅改反向——无偏事件分箱梯度与启发式代理对照（借入≠X）。,不可微rect分箱；线性/高斯启发式代理；只反传到权不反传到坐标；有偏长程差分。,FBP分箱梯度≠lifting X；训练前端旁路，勿搬光流/IWE指标当净服务%。,F2弱相关（时间分箱/连续状态梯度）。训练旁路。不抢 Stage B。f_candidates空。,IWE/光流基准≠valid825；仅摘录窗；弱导数实现≠硬件事件前端。,无偏梯度无下游增益或算力税挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,κ=l∗k替换k′作无偏弱导数合同 | Algo1前向不变+VJP用κ′作训练模板 | Dirac梳余切重构作连续运动流旁证 | 与linear/gauss代理成簇 | 负结果只停该分箱反传替换
ARX-176,Focus Session: Hardware and Software Techniques for Accelerating Multimodal Foundation Models,per_paper_fusion_hint,W0627,MFM多层共设计：层次混合精度+结构剪枝 + 小到大级联自测升级 + 序列/分辨率/算子融合共优化——多模态基础模型加速流水对照（借入≠X）。,单点量化无流水；无级联的大模型直推；忽略跨模态对齐开销；纯软件无加速器数据流。,MFM加速综述方法≠lifting X；大模型旁路，勿搬医学/代码任务点当净服务%。,"F1/F2/F7相关（结构剪枝、有损共同完成/级联、打包供数语言）。综述线索库。不抢 Stage B。f_candidates含F1,F2,F7。",MFM任务指标≠valid825；仅摘录窗；综述条目≠可直接落地RTL。,条目不可落地或与Stage B同分母冲突 → 保持旁路/仅作线索库。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,小→大级联+轻量自测升级作有损共同完成合同 | 层次混合精度×结构剪枝作压缩模板 | 序列长/视觉分辨率/stride与图级融合共优化旁证 | 尖峰-MFM延伸作事件化路线 | 负结果只停该综述条目挂接
ARX-174,NeuroRing,per_paper_fusion_hint,W0625,多FPGA双向环流式SNN：NPU八车道 + 突触表近邻排序左右环路由 + 同步令牌防死锁——可扩展尖峰仿真与环拓扑对照（借入≠X）。,单卡脉动SNN；无环的星型/总线互连；NEST纯CPU强扩展；无近邻排序的乱序突触发射。,NeuroRing多FPGA≠lifting X；仿真加速旁路，差分不在RTF/nJ。,F5/F7弱相关（突触表驻留、跨核打包通信）。平台旁路。不抢 Stage B。f_candidates空。,皮层微环路RTF≠valid825；仅方法窗；HBM突触表≠lifting源字RF合同。,环拥塞或同步税吃掉扩展增益挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,双向环+较短路径左右发射作跨核路由合同 | 突触表按目的近邻排序作通信局域模板 | 局部/全局同步令牌作反压/死锁旁证 | NPU∥SynapseRouter流重叠作吞吐语言 | 负结果只停该环拓扑替换
ARX-173,A PVT-Resilient Subthreshold SRAM-Based In-Memory Computing Accelerator,per_paper_fusion_hint,W0624,亚阈SRAM-CIM：片上监测电流闭环调VR抑PVT + 可编程ITH尖峰神经元免多比特ADC——PVT韧性存内SNN与校准/副本列对照（借入≠X）。,IDAC降RWL；事后校准/副本列；多比特ADC读出ANN-CIM；无variation-aware微调。,亚阈CIM SNN≠lifting X；模拟电路旁路，勿搬关键词检出准确率当净服务%。,模拟CIM旁路；与F族弱挂。不抢 Stage B。f_candidates空。,KWS准确率/nJ≠valid825；仅摘录窗；模拟稳压≠数字same-port合同。,稳压开销过大或精度不可恢复挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,监测单元+分布式EA闭环VR作PVT合同 | ITH电流阈代电压阈作尖峰检测模板 | 访问/CIM双模供电切换作噪声裕度旁证 | variation-aware微调恢复精度 | 负结果只停该CIM前端替换
ARX-001,Aquatic Neuromorphic Optical Flow,per_paper_fusion_hint,W0454,水下事件光流：对比最大化 + 平移⊕各向同性微折射缩放ϕ + 尖峰FireNet变体——流体场景自监督光流与陆地线性翘曲对照（借入≠X）。,纯线性CM翘曲；监督ANN光流；无L0噪声项；帧相机水下光流。,水下神经形态光流≠lifting X；应用旁路，差分不在AEE/FWL%。,F2弱相关（时间翘曲/事件表示）。应用旁路。不抢 Stage B。f_candidates空。,水下AEE≠valid825；仅摘录窗；各向同性ϕ假设≠真实湍流。,ϕ无增益或水下数据不可复现挤占 Stage B → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,v⊕ϕ各向同性缩放作流体翘曲合同 | LCM含L0抑扩散事件作噪声模板 | 事件计数图+可学习LIF作高效编码器旁证 | ϕ=0/λ0=0消融成簇 | 负结果只停该水下光流挂接
