uid,name,source,depth,A,B,X_hint,f_or_stageB,boundary,idea_bullets,kill_gate
MAIN-R257,SEW-ResNet,arxiv_2102.04159+本地excerpt,"方法级（仅方法摘录窗口）+依据：统一 IF/LIF 离散方程；Spiking ResNet vs SEW 块；g∈{ADD,AND,IAND} 实现恒等映射；Fig.1；摘录偏§3 块设计，完整训练/深度扩展可能截断",尖峰元素级残差（SEW）用二元运算实现恒等映射——深层 SNN 残差通路与 shortcut 语义对照（借入≠X）。,ReLU ResNet 直接换 SN 的 Spiking ResNet（难恒等）；无 shortcut；仅膜域连续残差。,SEW/ADD–AND≠lifting 结构化 PSN X；可借残差可训性，勿称 SEW-X。,算法/训练底座旁证；弱挂 F4（残差通路合并纪律）。不抢 Stage B。,ImageNet/CIFAR 准确率≠AEE 合同；仅摘录窗；禁止把 SEW 速度数字写成 same-port%。,ADD/AND/IAND 恒等条件作 shortcut 合同表 | 与本地残差链 sn1→Conv→sn2 语义对照 | 负结果只停某 g 函数布局，不杀残差家族,同预算不胜普通 Spiking ResNet/窄稠密或破 AEE → 停该 SEW 布局。
ARX-056,IMPULSE,arxiv_2105.08217+本地excerpt,方法级（仅方法摘录窗口；原 gap 摘录取到参考文献，已用同稿 arXiv PDF 方法窗补齐）+依据：10T-SRAM 融合 WMEM/VMEM；交错映射+可重构列外设；AccW2V/SpikeCheck/ResetV 等片内指令；IF/LIF/残差膜；输入稀疏跳过；65nm 实测,权与膜同宏融合+片内 SNN 指令集——有限 RF 下「权/膜谁共位」与事件稀疏跳写对照（借入≠X；联读 FlexSpIM）。,权/膜分体存储反复搬运；仅 ANN CIM；无 SpikeCheck/Reset 片内闭环；固定非交错位宽映射。,CIM 宏≠lifting 数字残差链 X；借驻留/稀疏，勿称 CIM-X。,F5旁证（膜生存期/共位）；不进主岛。不抢 Stage B。,65nm 0.99 TOPS/W / 85%稀疏 EDP≠本地 AEE/same-port%；仅方法窗；勿搬能量外推。,AccW2V 同周期更权膜作共位分母 | SpikeCheck→条件 Reset 跳写未尖峰膜 | 交错奇偶列映射作位宽不对齐模板 | 与 FlexSpIM 驻留选择成对 | 负结果只停 CIM 名替换数字链,无同端口重读/带宽改善或相位不可映射 → 停类比，不杀有限 RF 家族。
ARX-055,Delta Activation Layer,arxiv_2107.07305+本地excerpt,方法级（仅方法摘录窗口）+依据：Delta Activation Layer 记前激活、量化传播差分；训练期稀疏惩罚+可学量化级；无显式阈值/PID；可插训练/精炼/仅推理；指出全层状态使 ResNet-50 内存+≈40%；摘录§1–2，完整公式/UCF101表可能截断,训练诱导时间差分稀疏（Δ激活）并铸成空间稀疏——时间打包/半步检查点的可训稀疏底座（借入≠X）。,仅空间 ReLU/剪枝稀疏；推理期固定阈值 delta-net（易漂移需周期复位）；无状态的无记忆层。,Delta 层≠lifting 源字 X；差分须落到同端口服务，而非只报激活稀疏×3。,"F2/F4相关（时间检查点、有损差分）；第二队列对照。不抢 Stage B。f_candidates含F2,F4。",UCF101 准确率/稀疏比≠valid825；状态内存+40%须进分母；仅摘录窗。,Δ激活作 lifting 半步「接受/继续」的可训先验对照 F2 | 可学量化级↔稀疏–精度帕累托 | 部分层置状态缓解 RF 压力→F5 旁证 | 负结果只停全层 Delta 布局,稀疏升但同端口服务不降，或状态重读吃尽余量 → 停该全层布局，保留部分层轴。
MAIN-R228,E-RAFT,arxiv_2108.10552+本地excerpt,方法级（仅方法摘录窗口）+依据：双连续事件体素体积作 RAFT 相关对；上下文编码器；前向扭曲/平均 splat 暖启动；提出 DSEC-Flow；摘录§3.2–4，完整训练超参可能截断；ERAFT FPGA unresolved 另卡勿双计,事件体素双体积相关 + 前向扭曲暖启动——事件稠密光流迭代底座与时序状态继承对照（借入≠X）。,单窗事件图直接回归（EV-FlowNet）；无暖启动复制上帧流；仅 MVSEC 自监督基线。,E-RAFT/DSEC≠lifting X；同任务旁路。,F2/F7弱相关（时间体积、暖启动状态）；旁路基线。不抢 Stage B。,DSEC/MVSEC EPE≠valid825；暖启动≠same-port 状态合同；仅摘录窗；勿与 MAIN-R291 FPGA unresolved 双计。,双体积相关作时序打包合同 | 前向扭曲暖启动作状态继承模板（对照 shared-Q 消融纪律） | DSEC-Flow 位移分布作难度表 | 与 RAFT/BAT/TMA 成簇 | 负结果只停 E-RAFT 头替换,替换无增益或迭代费用挤占 Stage B → 保持旁路。
MAIN-R312,GMFlow,arxiv_2111.13680+本地excerpt,方法级（仅方法摘录窗口）+依据：自/交叉注意力增强特征；全局相关+softmax 可微匹配；流传播自注意力；权共享精修；消融全局vs局部匹配；摘录§3，完整精修栈可能截断,显式全局匹配（softmax 对应）+ Transformer 特征增强——大位移光流一次匹配强对照（借入≠X）。,RAFT 式局部 lookup 迭代；纯局部窗匹配；无交叉注意力特征。,全局匹配/Transformer≠lifting X；旁路不在 Sintel 排行差分。,"F2/F7弱相关（全局对应、特征传播）。旁路基线。不抢 Stage B。f_candidates含F2,F7。",帧光流 EPE/参数量≠AEE/same-port%；仅摘录窗。,softmax 全局对应作「一次并集」对照多迭代 lookup | 交叉注意力贡献最大→特征质量分母 | 流传播改善未匹配像素 | 与 RAFT/FlowFormer 成簇 | 负结果只停 GMFlow 头替换,挂主网无增益或注意力费用挤占 Stage B → 保持旁路。
MAIN-R241,hARMS,arxiv_2112.06772+本地excerpt,方法级（仅方法摘录窗口）+依据：ARMS 多尺度邻域选窗（argmax |Un|）；事件级无监督孔径鲁棒流；FPGA/SoC 并行加速；吞吐至约 1.21 Mevent/s；摘录偏 Intro+算法背景，完整 RTL/流水细部可能截断,多尺度邻域选「孔径」+事件级局部流硬件加速——实时事件光流前端与并行事件服务对照（借入≠X）。,固定小窗 Lucas/平面拟合（孔径失败）；帧累积再算流；无硬件并行的纯软件 ARMS。,hARMS FPGA≠lifting 数字链 X；旁路/前端，勿搬 Mevent/s 当净服务%。,运动前端旁路；弱 F2（事件服务）。不抢 Stage B。,FPGA 吞吐/资源≠valid825/same-port%；摘录方法细部偏背景；禁止虚报已读完整微架构。,多尺度 argmax|Un| 作无监督窗选择合同 | 事件级流水作服务分母旁证 | 与平面拟合 FPGA unresolved 卡成簇勿双计 | 负结果只停 hARMS 前端替换,前端替换无 AEE/服务增益或挤占 Stage B → 保持旁路。
ARX-066,GROW,arxiv_2203.00158+本地excerpt,方法级（仅方法摘录窗口）+依据：行驻留稀疏–稠密 GEMM；HDN 缓存+图划分提时间局部性；runahead 多输出行隐藏缺失延迟；MSHR/LDN 表；摘录偏缓存/runahead§，完整阵列数据通路可能截断,行驻留 + 高复用行缓存 + runahead 重叠缺失——有限 RF/带宽下稀疏–稠密供数与延迟隐藏对照（借入≠X）。,无 HDN 缓存的朴素 SpMM；单输出行串行等缺失；无图划分的全局度缓存。,GCN/GROW≠lifting X；借驻留与 runahead，勿称图加速 X。,F5相关（行驻留/生存期/缓存周转）。第二队列旁证。不抢 Stage B。f_candidates含F5。,GCN 图基准/40nm 面积≠AEE；图预处理摊销假设须明示；仅摘录窗。,HDN scratchpad 作「谁该驻留」对照 F5 | runahead 多行重叠作背压下继续服务模板 | 图划分改变邻接局部性→打包边界类比 F7 | 负结果只停 GROW 名替换数字链,无同端口重读改善或映射不上残差链 → 停类比，不杀有限 RF 家族。
MAIN-R314,FlowFormer,arxiv_2203.16194+本地excerpt,方法级（仅方法摘录窗口）+依据：4D cost→逐源像素 cost map 分块；潜变量摘要 tokenization；Transformer 编 cost memory；cost query 共注意力+循环精修；凸上采样；摘录§3.1–3.3，完整训练表可能截断,把全对代价体压成 cost memory 再用查询迭代取回——相关体压缩/多消费者查询对照（借入≠X）。,RAFT 原始相关金字塔+局部 lookup；无潜变量摘要的朴素 patch token；单次非迭代解码。,FlowFormer/cost memory≠lifting 源字 X；旁路。,F7弱相关（代价体打包/查询）；旁路基线。不抢 Stage B。f_candidates含F7。,Sintel/KITTI EPE≠valid825；仅摘录窗；参数/迭代勿写 same-port%。,潜变量摘要压冗余代价→类比源 DAG 公共虚节点 F3 弱旁证 | cost query 共注意力作多像素共享读取 | 与 RAFT/GMFlow/EDCFlow 成簇 | 负结果只停 FlowFormer 头替换,挂主网无增益或注意力/记忆费用挤占 Stage B → 保持旁路。
MAIN-R313,CRAFT,arxiv_2203.16896+本地excerpt,方法级（仅方法摘录窗口）+依据：SSTrans/Expanded Attention（多 mode MoE）+相对位置偏置；Cross-Frame Attention 以简化 EA 替换点积相关体；GMA；摘录§3.1–3.2 与评测混排，完整训练/实现表可能截断,用 Expanded Attention 做帧内语义平滑，再用多 mode Q/K 投影构造交叉帧相关体——相关体构造/注意力打包对照（借入≠X）。,RAFT 朴素点积相关；单头 MHA 无 mode 聚合；无相对位置偏置的全局自注意力。,CRAFT/交叉注意力≠lifting 源字 X；旁路。,F7弱相关（相关体/注意力打包）；旁路基线。不抢 Stage B。f_candidates含F7。,Sintel/KITTI EPE≠valid825；仅摘录窗；大位移鲁棒勿写 same-port%。,SSTrans mode 聚合作多专家特征合同 | EA 式多投影相关→多消费者匹配旁证 | 与 FlowFormer/GMA/RAFT 成簇 | 负结果只停 CRAFT 头替换,挂主网无增益或注意力费用挤占 Stage B → 保持旁路。
MAIN-R242,SNE,arxiv_2204.10687+本地excerpt,"方法级（仅方法摘录窗口）+依据：LIF（线性衰减近似）；事件四元组 OP∈{RST,UPDATE,FIRE}；slice+C-XBAR+DMA；filter buffer≤256 组权重按地址选；显式事件循环+时空复用广播；摘录§III，完整阵列/PPA细部可能截断",显式事件驱动卷积：slice 并行 + 突触交叉开关 + 能量比例于活动事件——稀疏事件供数与状态驻留对照（借入≠X）。,稠密帧卷积扫描全图；无 OP 分相的统一 MAC；无 filter buffer 的全局权重重载。,SNE/Kraken-SNE≠lifting X；借事件比例计费与驻留，勿搬 DVS-Gesture mW。,F7相关（事件寻址/权重选择打包）兼 F2/能量比例旁证。第二队列。不抢 Stage B。f_candidates含F7。,IBM-DVSGesture 精度/能效≠valid825/same-port%；线性衰减 LIF≠本地 θg 声明；仅摘录窗。,RST/UPDATE/FIRE 分相作事件服务合同 | filter buffer 按地址选权重→多消费者权重驻留旁证 | 时空复用广播作同端口对照 | 负结果只停 SNE 名替换数字链,无同端口活动比例改善或映射不上残差链 → 停类比，不杀事件比例家族。
ARX-053,Sparse Compressed SNN Detector Accel,arxiv_2205.00778+本地excerpt,方法级（仅方法摘录窗口）+依据：gated one-to-all product；零激活门控；零权重跳过；稀疏压缩权重+Weight Map/NZ；LIF 累加寄存器；摘录偏结果/对比表§，完整微架构§可能截断,稀疏压缩权重 + 零激活门控 + gated one-to-all 乘积——活动稀疏下减 DRAM/PE 动态的 SNN 检测加速对照（借入≠X）。,稠密 SNN 全权重扫描；无门控的恒定 PE 翻转；未压缩层权反复外存读取。,该检测加速器≠lifting X；借稀疏门控合同，勿搬 35.88TOPS/W。,F2相关（时间/活动稀疏打包）。第二队列旁证。不抢 Stage B。f_candidates含F2。,28nm 布局能效/mAP≠AEE；摘录偏对比表禁止虚报已读完整数据通路；1024×576@29fps≠服务%。,零激活门控作活动比例计费旁证 | 稀疏压缩权作驻留体积合同 | gated one-to-all 与多消费者广播对照 | 负结果只停该检测加速布局,同资源无服务增益或挤占 Stage B → 停该布局。
MAIN-R243,Kraken,arxiv_2209.01065+本地excerpt,方法级（仅方法摘录窗口）+依据：异构 SoC=SNE（COO 事件→稠密突发/4b 3×3+8b LIF）+CUTIE（三元全展开/片上权）+PULP 8核混合精度；FC+1MiB L2；摘录§II，完整RTL/时钟域可能截断（摘录含\0噪声已清洗）,事件 SNN / 三元 TNN / 量化 DNN 三引擎同 SoC 分工——多模态视觉前端异构加速对照（借入≠X）。,单一稠密 DNN 核扛全部传感；无 COO 突发的朴素事件扫描；权反复外存的非展开 TNN。,Kraken SoC≠lifting X；借异构分工与 COO 突发，勿搬 TOp/s/W。,F1弱相关（异构引擎/表示选择）；旁路/平台。不抢 Stage B。f_candidates含F1。,Nano-UAV 能效/inf≠valid825；SNE 子引擎≠完整 Gustav；仅摘录窗；禁止虚报已读完整芯片图。,COO→稠密突发作稀疏事件服务合同 | 三引擎功率门控作任务分域旁证 | 与 SNE 卡成簇勿双计底座 | 负结果只停「整 SoC 替换数字链」,异构迁入无 AEE/服务增益或挤占 Stage B → 保持旁路。
MAIN-R254,Spikformer,arxiv_2209.15425+本地excerpt,方法级（仅方法摘录窗口）+依据：SPS 卷积茎→尖峰 patch；条件 RPE；SSA：Q/K/V 全尖峰、取消 softmax、直接 QKᵀV·s；多块编码器+GAP；摘录§3.1–3.3，完整附录多头细部可能截断,尖峰自注意力（无 softmax）+尖峰 patch 分裂——稀疏二进制 Q/K 上的注意力聚合对照（借入≠X）。,浮点 ViT/VSA+softmax；把 V 尖峰化仍保留浮点 Q/K；无 SPS 的平坦 flatten。,Spikformer/SSA≠lifting 源字 X；旁路/表示。,"F1/F7弱相关（尖峰表示与注意力打包）。旁路基线。不抢 Stage B。f_candidates含F1,F7。",CIFAR/DVS 精度≠valid825；仅摘录窗；SSA FLOPs 勿写 same-port%。,无 softmax 的非负尖峰注意力作聚合合同 | SPS+RPE 作事件/帧统一嵌入旁证 | 与 Spiking Transformer 族成簇 | 负结果只停 SSA 替换本地出口,挂主网无增益或注意力费用挤占 Stage B → 保持旁路。
MAIN-R225,IDNet,arxiv_2211.13726+本地excerpt,方法级（仅方法摘录窗口）+依据：无相关体；事件轨迹/模糊作搜索方向；backbone RNN；ID（同批迭代去模糊）与 TID（时间流式迭代）；运动补偿去模糊；摘录偏 Intro/Related+流水示意，完整网络式可能截断,用事件时空轨迹直接迭代去模糊估流、避开 4D 相关体——轻量事件光流前端与低存储迭代对照（借入≠X）。,E-RAFT/TMA 式显式相关体+RNN；金字塔粗到细无去模糊；离线大相关存储。,IDNet/TID≠lifting X；旁路/前端，勿搬 Jetson 延迟当净服务%。,运动前端旁路；弱 F2（流式事件迭代）。不抢 Stage B。,DSEC SOTA/参数量≠valid825；仅摘录窗；禁止虚报已读完整网络超参表。,无相关体去模糊迭代作存储分母合同 | TID 流式 8ms 级作在线服务旁证 | 与 E-RAFT/TMA 成簇对照相关体费用 | 负结果只停 IDNet 头替换,前端替换无 AEE/服务增益或挤占 Stage B → 保持旁路。
ARX-065,Flexagon,arxiv_2301.10852+本地excerpt,方法级（仅方法摘录窗口）+依据：同硬件可切换 IP/OP/Gustavson 三数据流；stationary/streaming/merging 相；PSRAM 按行分块+valid/k 标签；MRN 加法/比较树合并纤维；摘录§3.2 walk-through，完整§3.4 存储细部可能截断,一芯多数据流 SpMSpM（IP/OP/Gust）+ PSRAM 多 k 并行部分和——稀疏–稀疏供数与归约合并对照（借入≠X）。,固定单一数据流加速器；无 merging 相的朴素写出；不知 nnz 时串行等纤维。,Flexagon≠lifting X；借多数据流切换与 PSRAM 分块，勿称 SpMSpM 芯片 X。,F5相关（驻留/部分和生存期/多 k 并行）。第二队列旁证。不抢 Stage B。f_candidates含F5。,DNN SpMSpM 基准≠AEE；仅摘录窗 walk-through；禁止虚报完整面积/功耗表。,IP/OP/Gust 可切换作负载自适应合同 | PSRAM valid+k 块作多迭代驻留旁证 | MRN 合并树作多纤维归约模板 | 负结果只停 Flexagon 名替换数字链,无同端口重读/归约改善或映射不上 → 停类比，不杀多数据流家族。
ARX-019,Dynamic Event OCC+Spiking OF ID,arxiv_2303.07169+本地excerpt,方法级（仅方法摘录窗口）+依据：红外 beacon OCC（850nm/ESP32）；事件相机解码；动态场景 Kalman+尖峰光流辅助跟踪；摘录偏§3 静/动态评测与讨论，完整§2 算法细部可能截断,事件 OCC 识别 + 尖峰光流辅助动态跟踪——事件通信/身份前端与运动补偿旁证（借入≠X）。,纯帧 OCC；无光流辅助的盲跟踪；无 beacon 的外观识别。,OCC/beacon 系统≠lifting X；旁路传感，勿搬 MAR/BAR。,传感/应用旁路；与光流前端弱相关。不抢 Stage B。,MAR/BAR/距离≠valid825；摘录偏评测禁止虚报已读完整光流网络；仿真≠芯片。,Kalman∩尖峰光流作动态身份稳定合同 | beacon 时分编码作事件服务旁证 | 与事件光流卡成簇勿当执行 X | 负结果只停 OCC 前端替换,无主网增益或挤占 Stage B → 保持旁路。
MAIN-R227,TMA,arxiv_2303.11629+本地excerpt,方法级（仅方法摘录窗口）+依据：事件切段+辅助参考段；时密相关体 Ci=F0Fiᵀ；线性 lookup 按时间对齐；运动模式聚合（中间特征×末特征 cross-attn）；基于 RAFT；摘录§3 Methodology，完整训练表可能截断,时密相关 + 线性 lookup 对齐 + cross-attn 聚合运动模式——事件时间维打包与多段共享读取对照（借入≠X）。,两帧事件相关（E-RAFT）；标准非时间对齐 lookup；无聚合的单相关图。,TMA≠lifting X；旁路/前端，相关体费用勿当净服务%。,F2相关（时间切段/时密相关）。旁路基线。不抢 Stage B。f_candidates含F2。,基准 EPE≠valid825；仅摘录窗；O((HW)²) 相关存储勿写 same-port%。,事件切段作时间打包合同 | 线性 lookup 作时间对齐读取旁证 | 与 IDNet（无相关体）成簇对照费用 | 负结果只停 TMA 头替换,挂主网无增益或相关体费用挤占 Stage B → 保持旁路。
MAIN-R263,Neuromorphic OF (spiking enc-dec),arxiv_2304.07139+本地excerpt,方法级（仅方法摘录窗口）+依据：尖峰卷积编码器–解码器；层间复发可选；voxel grid（Nin=6）对尖峰、count 对非尖峰 sSNU；池化下采样+双线性上采样；摘录§3.2 网络，完整实时/FPGA 实现可能截断,尖峰 U-Net 式编解码 + voxel 输入估稀疏光流——神经形态事件光流前端对照（借入≠X）。,ANN 稠密光流；无复发的纯前馈尖峰；单一 count 编码硬套尖峰网。,该尖峰光流≠lifting X；旁路；MVSEC AEE/WAEE≠本地合同。,F2弱相关（事件时间编码/尖峰动态）。旁路基线。不抢 Stage B。f_candidates含F2。,MVSEC AEE≠valid825；仅摘录窗；禁止虚报已读完整实时实现节。,voxel vs count 编码作输入合同 | 层间复发作时间依赖旁证 | 与 TrueNorth/Spike-Flow 成簇 | 负结果只停该尖峰头替换,前端替换无增益或挤占 Stage B → 保持旁路。
MUSHA-OF005,VD56G3_onsensor_OF,arxiv_2305.13087+本地excerpt,方法级（仅方法摘录窗口）+依据：片上 FAST+BRIEF；每 16×16 限描述子数；最多 2048 向量；Hamming 最佳/次佳；MIPI 传图+流；ROI 三分；摘录偏传感器/流水+数据集，完整模拟前端可能截断,传感器内 FAST/BRIEF 稀疏特征匹配出运动向量——片上光流前端与稀疏向量服务对照（借入≠X）。,片外稠密光流；全像素相关；无描述子配额的失控特征爆炸。,VD56G3 ASIC≠lifting X；旁路传感，勿搬 fps/向量数。,传感前端旁路。不抢 Stage B。,帧率/向量数≠valid825；帧相机 OF≠事件链；仅摘录窗。,描述子配额作稀疏前端合同 | best/2nd Hamming 比作可信门控旁证 | 与事件光流卡分簇勿混传感器 | 负结果只停「片上 OF 替换数字出口」,替换无增益或挤占 Stage B → 保持旁路。
ARX-064,RAMAN,arxiv_2306.06493+本地excerpt,方法级（仅方法摘录窗口）+依据：双稀疏（W+IA）tinyML；IA/OA 同空间重叠降峰值激活存储≤50%；可重构 NoC；全片上；MobileNetV1/DS-CNN；摘录偏 Intro/Related+贡献摘要，完整 PE/数据流§可能截断,双稀疏 + 激活峰值重叠存储 + 可重构 NoC——边侧稀疏推理供数与存储周转对照（借入≠X）。,单操作数稀疏（仅 W 或仅 IA）；IA/OA 双缓冲翻倍峰值；固定拓扑不可重配。,RAMAN≠lifting X；借重叠存储与双稀疏，勿搬 GOp/s/W。,"F1/F5相关（表示/稀疏与激活驻留）。第二队列旁证。不抢 Stage B。f_candidates含F1,F5。",FPGA LUT/能效≠AEE；摘录偏相关工作禁止虚报已读完整微架构；tinyML≠残差光流链。,IA∩OA 重叠作 F5 峰值内存合同 | 双稀疏前端配对作利用率旁证 | 可重构 NoC 作层切换边界类比 F7 弱 | 负结果只停 RAMAN 名替换,无同端口存储/稀疏改善或映射不上 → 停类比，不杀双稀疏家族。
ARX-017,S-TLLR,arxiv_2306.15220+本地excerpt,方法级（仅方法摘录窗口）+依据：§4.1–4.2三因子、瞬时eligibility O(n)、因果+非因果、Algo1；复发§4.2.1；训练表/附录可能截断,STDP启发时空局部三因子学习：丢弃eligibility递归→O(n)内存，兼用因果/非因果尖峰时序——在线可训SNN与时间局部梯度合同对照（借入≠X）。,BPTT全时序存状态；e-prop/OSTL等O(n^2) eligibility；纯无监督STDP；仅因果近似BPTT的OTTT类规则。,S-TLLR学习规则≠lifting源字/半步图X；差分只在训练期时间局部合同旁路。,训练/可训性旁证；弱挂时间局部。不抢 Stage B。f_candidates空。,分类准确率/复杂度表≠valid825 AEE；仅摘录窗；O(n)勿写same-port%。,瞬时eligibility（β=0）作时间局部可训内存合同 | 因果+非因果双项作时序相关对照 | 层间反传、时间局部→可DFA空间局部分拆 | 负结果只停该规则替换,同预算不胜BPTT/OTTT或eligibility旁路吃满RF → 停该规则作主训，保留旁证。
MAIN-R255,Spike-driven Transformer,arxiv_2307.01694+本地excerpt,方法级（仅方法摘录窗口）+依据：§3.1 SPS+膜捷径；§3.3 SDSA-V1（Hadamard/掩码、无softmax）；§4理论能耗；补充材料可能截断,膜势捷径（MS）保二进制尖峰驱动 + Spike-driven Self-Attention（列和+掩码、取消scale/softmax）——稀疏加法/地址化注意力聚合对照（借入≠X）。,SEW捷径多比特尖峰；SpikFormer浮点Q/K仍乘；Vanilla Transformer MAC+softmax；软注意力连续分值。,SDSA/MS≠lifting结构化PSN X；表示与注意力旁路，差分不在ImageNet%。,"F1/F7相关（尖峰表示、注意力打包）。旁路基线。不抢 Stage B。f_candidates含F1,F7。",ImageNet/CIFAR/DVS精度与理论EAC≠valid825/same-port%；仅摘录窗；SDSA能量勿外推芯片mW。,MS捷径保证后接SN仅为二进制→spike-driven加法合同 | Hadamard/掩码替换矩阵乘作硬注意力旁证 | 稀疏率R·T·FLOPs作能耗分母模板 | 与Spikformer/Meta-SpikeFormer成簇 | 负结果只停SDSA布局,挂主网无增益或注意力/掩码费用挤占 Stage B → 保持旁路。
MAIN-R226,EVA-Flow,arxiv_2307.05033+本地excerpt,方法级（仅方法摘录窗口）+依据：§3.2 UVG串行+SMR（ConvGRU时空递推、粗到细）；§3.3仅监督末步；§3.4 RFWL；UVG构造细部可能截断,事件bin串行低延迟输入 + Spatiotemporal Motion Recurrent（金字塔warp+ConvGRU残差更新）——anytime/时间密光流与状态继承对照（借入≠X）。,整段一次出流（非anytime）；E-RAFT双体积相关无逐bin输出；线性运动假设插值中间流；无RFWL的FWL。,SMR/anytime≠lifting源字X；同任务旁路，差分不在DSEC EPE%。,F2弱相关（时间密递推/检查点）。旁路基线。不抢 Stage B。f_candidates空。,DSEC/RFWL≠valid825；仅摘录窗；中间步无显式监督≠本地合同；禁止虚报已读完整UVG定义。,逐bin输出作anytime服务合同 | 同层共享权重横时+异层竖空作递推模板 | 仅监督末步+稠密warp隐式约束中间流 | RFWL矫正FWL尺度 | 与E-RAFT/TMA/BAT成簇 | 负结果只停EVA头替换,替换无AEE/服务增益或递推费用挤占 Stage B → 保持旁路。
ARX-016,USFlow / Dynamic Timing Representation,arxiv_2307.06003+本地excerpt,方法级（仅方法摘录窗口）+依据：§4.2 TMR多膨胀1D卷积+Layer Attention；PWC/RAFT双骨干；§4.3无监督损失入口；完整损失公式可能截断,尖峰相机流上的动态时序表示（像素共享多膨胀时域卷积+层注意力融合）+无监督光流——时间窗自适应打包与输入表示对照（借入≠X）。,固定长度尖峰窗；仅计数/最新戳事件图；纯监督真值流；无层注意力的单尺度时域卷积。,TMR/USFlow≠lifting X；尖峰相机前端旁路，差分不在PHM EPE。,"F2/F7相关（时间表示打包）。旁路基线。不抢 Stage B。f_candidates含F2,F7。",Spike camera/PHM≠DSEC/valid825；仅摘录窗；禁止虚报已读完整§4.3损失闭式。,多膨胀1D时域作长短窗并集表示合同 | Layer Attention融多层作自适应时间选择旁证 | 同表示接PWC/RAFT作骨干无关检查 | 与EV-FlowNet/SCFlow成簇 | 负结果只停TMR替换入口,表示替换无增益或膨胀费用挤占 Stage B → 保持旁路。
ARX-015,EOLO,arxiv_2309.09297+本地excerpt,方法级（方法摘录窗+PDF补齐）+依据：SNN事件骨干；ETA时维max/avg注意力；SREF对称融合；随机光流事件合成；E-VOC/E-MSCOCO,轻量SNN事件编码 + Event Temporal Attention保边+时序 + Symmetric RGB-Event Fusion（不偏置单模态）——全天多模态对称融合与事件时序注意对照（借入≠X）。,非对称RGB主/事件辅融合（RENet类）；纯RGB YOLO；事件转帧丢时序；固定光流合成事件。,EOLO/ETA/SREF≠lifting X；检测应用旁路，差分不在mAP。,"F1/F7弱相关（表示选择、融合打包）。旁路/感知。不抢 Stage B。f_candidates含F1,F7。",E-VOC/E-MSCOCO合成事件≠真实事件链；mAP/SNN mJ≠AEE/same-port%；合成偏差须明示。,ETA：时维max与avg门控作边缘保留合同 | SREF对称融合作模态重要性自适应旁证 | 随机光流合成作缺配对数据纪律 | 负结果只停EOLO头/融合替换,融合无全天鲁棒增益或挤占 Stage B → 保持旁路。
MAIN-R235,DFlow / Context-aware Iteration Policy,arxiv_2312.07180+本地excerpt,方法级（仅方法摘录窗口）+依据：统计瓶颈观察；Gumbel mask跳迭代；历史隐状态+迭代嵌入+增量损失；资源偏好r；完整损失/四骨干表可能截断,上下文感知迭代策略网：按样本动态跳过光流更新步（瓶颈/边际收益）——迭代预算自适应与可控算力合同对照（借入≠X）。,固定大迭代（RAFT 24/32）；无策略的早退阈值；仅当前特征无历史/未来上下文的跳步。,迭代策略≠lifting源字X；旁路效率轴，差分不在Sintel EPE%。,"F2/F4相关（时间/迭代检查点、有损跳过）。第二队列对照。不抢 Stage B。f_candidates含F2,F4。",FLOPs降约40%/20%≠same-port服务%；帧光流≠事件valid825；仅摘录窗。,Gumbel可微mask作接受/继续半步旁证对照F2/F4 | 历史隐元+正弦迭代嵌入作上下文合同 | 资源偏好r单网多档作可控预算 | 与RAFT族成簇 | 负结果只停该策略头,跳步伤EPE超预算或策略本身费用抵消收益 → 停该策略，保留固定迭代基线。
MAIN-R236,ESDA,arxiv_2401.05626+本地excerpt,方法级（仅方法摘录窗口）+依据：§3.1统一token-feature接口；§3.2子流形稀疏卷积；§3.3可组合模块；完整端到端表可能截断,可组合稀疏数据流：坐标token+特征同流、子流形卷积抑膨胀、编译期并行因子——事件稀疏空间供数与模板化对接对照（借入≠X）。,标准卷积致密化中间特征；稠密帧CNN全图扫描；不可组合的固定硬件；无token的纯特征流。,ESDA/子流形≠lifting数字残差链X；借稀疏数据流接口，勿搬平台吞吐数字。,F7相关（稀疏坐标打包/模块级联边界）。第二队列旁证。不抢 Stage B。f_candidates含F7。,平台分类吞吐/资源≠valid825/same-port%；仅摘录窗；子流形限制≠通用稠密光流出口。,token坐标与end标志+ravel序作稀疏流合同 | stride=1子流形输入输出同位可复用队列旁证 | 可组合模块级联作按模型拼数据流模板 | 负结果只停ESDA名替换数字链,无同端口稀疏服务改善或映射不上残差链 → 停类比，不杀稀疏数据流家族。
